Front Text;Back Text
start over;zaczynać od początku
shopkeeper;sklepikarz(-arka)
disassemble;rozebrać, rozmontować
tiresome;dokuczliwy, męczący
day;dzień
dinner;kolacja, obiad
bring up sb;wychowywać kogoś, przyprowadzić kogoś na górę
concrete;beton, betonowy, konkretny
woodpecker;dzięcioł
lively;pełen życia, ożywiony
gnome;krasnal, krasnoludek
alcoholic;alkoholowy, alkoholik(-iczka)
dentist;dentysta, stomatolog
opposite;naprzeciw
embarrassing;kłopotliwy, krępujący
sweater;sweter
hit sb for sth;poprosić kogoś o coś
raider;najeźca, napastnik
menu;zestaw, menu, karta(DAŃ)
sling;slung slung - ciskać, miotać, powiesić
murder;morderstwo, mordować
deplore;ubolewać
tactics;taktyka
sightseeing;zwiedzanie
easily;łatwo
type;typ, czcionka
food;żywność, pokarm
cabinet;gabinet
delicacy;przysmak, delikatność
division;podział, dzielenie(Math), dywizja, liga, oddział
tattoo;tatuaż
faculty;zdolność, wydział(of university)
damn it;cholera!
slightly;odrobinę
smiling;uśmiechnięty
creak;skrzypieć
pollute;zanieczyszczać
anthem;hymn
surface;powierzchnia
topic;temat
enemy;wróg, nieprzyjaciel
trajectory;trajektoria
kangaroo;kangur
journalist;dziennikarz
profit margin;marża(w sprzedarzy)
isolation;izolacja, odosobnienie
magnesium;magnez
slam;trzaskać(DOOR, MONEY)
slip;pośliznąć się, wśliznąć się, pomyłka, halka(pod spudnicę)
stretch;obszar, odcinek, rozciągać się
wide;szeroki
delicate;delikatny
daughter;córka
brush;pędzel
currency;waluta
broad;szeroki
layer;warstwa
handy;przydatny, pod ręką
rob;rabować, okradać
padlock;kłódka, zamknąć na kłódkę
betide;przytrafić się, zdarzyć się
gold;złoto, złoty
chew;żuć, przeżuwać
speaker;mówca, głośnik
angled;odcięty, ustawiony pod kątem
creation;wyrób
contrast;kontrast
practice;(US) praktykować, wprawiać się w czymś
extend;rozbudować, powiększyć
reside;zamieszkiwać
transfer;przeniesienie, przelew, transfer, przenosić, przelewać, transferować
splendor;(US) przepych, wspaniałość
sealed case;zamknięta obudowa
holster;kabura, wsadzić do kabury
minority;mniejszość, niepełnoletność
hark;słuchaj(old use)
gazing;wpatrywać się intensywnie
talented;utalentowany
portrait;portret
point;punkt, wskazywać
drama;dramat(rodzaj literacki), tragedia
thrive;thrived/throve thrived - dobrze się rozwijać
vision;wzrok, widzenie, wizja
stump;głąb(np. kapusty), końcówka, zabić klina, zbić z tropu
gambol;brykać, hasać
icing;lukier, oblodzenie
convinced of/that;przekonany o/że
prude;świętoszek(-szka)
offender;przestępca(-czyni)
sincerity;szczerość
pat;klepać, poklepywać
nowhere;nigdzie, donikąd
rack;półka, wieszak
slide;slid slid - zjeżdżalnia, slajd, przesuwać się
be a rub;być wkurzającym
alongside;wzdłuż, obok
dislike;niechęć, nie lubić
storm;burza
giraffe;żyrafa
merchant;kupiec
spectacular;spektakularny
pawn;pionek, zastawiać
blubber;tłuszcz wielorybi, beczeć, ryczeć
quartermaster;kwatermistrz
tonight;dzisiaj wieczorem, dzisiejszy wieczór
ultimatum;pl ultimatums/ultimata - ultimatum
awe;respekt, obawa, napawać trwogą, wywoływać respekt
fifty;pięćdziesiąt(50)
grandly;pokaźnie
housemaid;służąca, pokojówka
offering;produkt, podarunek, oferowanie
slum;dzielnica nędzy
network;sieć, łączyć w sieć
lancet;lancet, skalpel
fireside;kominek, ognisko domowe
docker;doker(robotnik portowy - pracujący w doku)
informal;potoczny, nieoficjalny
blame;wina
certain;pewny, pewien
action;akcja, czynność
do a nine-to-five job;pracować od 9 do 17
all;wszystkie, wszyscy, całkiem, całkowicie
staggering;zawrotny
mention;wzmianka, wspominać o
lodging;kwatera
firewall;zapora sieciowa, ściana ogniowa
headache;ból głowy
rapist;gwałciciel
forestall;uprzedzać, zapobiegać
can;móc, puszka, kanister
raise;podwyżka, podnosić
preoccupancy;zainteresowanie, zajęcie
logistics;logistyka
identification;rozpoznanie, identyfikacja
advert;reklama, ogłoszenie
gauntlet;rękawica
facing;fiselina, materiał usztywniający
erase;wymazywać, kasować
jerk;szarpnięcie, palant(person), szarpać
cordless;bezprzewodowy
simple;prosty
confuse;mylić, gmatwać
cutlery;sztućce
heir to sth;spadkobierca czegoś
run off;uciekać
surely;z pewnością, na pewno
per cent;procent
cheat;oszukiwać, oszust(ka)
satisfaction;zadowolenie, satysfakcja
uncensored;nieocenzurowany
nut;nakrętka, orzech
hind;łania, tylny
inhospitable;niegościnny, nieprzyjazny
enthusiast;entuzjasta, miłośnik
cucumber;ogórek
convey;przekazywać
quibble;sprzeczka, sprzeczać się(o rzeczy nieistotne)
stimulus;pl stimuli - bodziec
existence;istnienie, egzystencja
grasp;chwyt, uścisk, chwytać
fill in;wypełniać
transition;przemiana, przekształcenie, przejście
snowflake;płatek śniegu
wretched;nędzny, nieszczęśliwy
ant;mrówka
military;militarny, wojskowy
guy;facet
intention;intencja, zamiar
clever;zdolny, bystry
gym;(gymnasium)sala gimnastyczna, siłownia, (gymnastics) gimnastyka
concurrency;współbierzność, równoczesność
mutually;wzajemnie
platoon;pluton
castaway;rozbitek
live;żyć, żywy, pod napięciem
adjust;dostosowywać, regulować
counterpane;kapa, narzuta
hill;pagórek, wzgórze
operation;operacja
post;poczta, wysyłać
companion;towarzysz(ka)
missing;zaginiony, brakujący
decent;przyzwoity
remarkably;nadzwyczajnie, niezwykle
be nice of sb;miło z czyjejś strony
deserve;zasługiwać na
likeness;podobieństwo
emit;emitować
tag;metka, etykieta
dusk;zmierzch, zmrok
world-class;światowej renomy
vitamin;witamina
dollar;dolar
swivel;okrętka, przegub, obracać
chorus;chór, refren
button;guzik, przycisk
unattractive;nieatrakcyjny
smurf;smerf(postać z bajki)
pole;tyczka, kijek, biegun
driver's license;(US) prawo jazdy
prevent;zapobiegać, uniemożliwić
demon;demon
glamour;blask, świetność
hare;zając
crutch;krocze, kula inwalidzka, podpierać się kulą inwalidzką
hovel;buda, chałupa, rudera
childish;dziecinny
turning point;punkt zwrotny
run away;uciekać
judgement;orzeczenie, wyrok, opinia
splash;plusk, pluśnięcie, pluskać się, chlapać
circumstance;fakt, okoliczność
earn commission;otrzymać prowizję
vile;nikczemny, podły, obrzydliwy
symmetrical;symetryczny
pea;groch
drunken;pijany
sprout;młody pęd(rośliny), kiełkować
conjunction;połączenie, koniunkcja, spójnik
mob;tłum
priestess;kapłanka
bawl;drzeć się, ryczeć
adequate;dostateczny, zadowalający
resolved;zdecydowany, rozwiązany
polite;uprzejmy, grzeczny
furthermore;co więcej, ponadto
relational;relacyjny, pokrewny
voice mail;poczta głosowa
life;pl lives - życie
bravo;brawo, asasyn, płatny zabójca
left;lewy
honourable;(UK) homorowy, zaszczytny
dairy;sklep nabiałowy, mleczarnia, mleczny
hot;gorący, pikantny
syntax;składnia
herd;stado, spędzać, zaganiać
put through to;połączyć się telefonicznie
livid;siny, blady
go back;wracać
remaining;pozostały
east;wschód, wschodni
tumour;guz(UK)(MED)
plunge;spadać gwałtownie, dryfować(statek), gwałtowny spadek
god;bóg, bóstwo
assessment;ocena
mousse;mus, pianka(COSMETIC)
crust;skórka, skorupa
pitch;poziom, szczyt
had better;lepiej by było, żeby
capsize;wywracać się dnem do góry
graphics;grafika
parole;zwolnienie warunkowe
neat;czysty, schludny
stately;okazały
stepbrother;brat przyrodni
might;moc, potęga
chilly;chłodno, chłodny
daybreak;świt, poranek
scrap;skrawek, przeznaczać na złom
admirable;godny podziwu
summer;lato
end;koniec
serial number;numer seryjny
appointment;stanowisko, spotkanie(meeting)
solar;słoneczny
plaster;pl plastrum - gips, gładź szpachlowa, gipsować, tynkować
mussel;małż, omułek(jeden z owoców morza)
net;siatka, sieć, netto, łapać
It's my turn;Teraz moja kolej
unjustly;niesłusznie
sacrifice;ofiara, składać w ofierze
tamer;treser(zwierząt), poskramiacz(dzikich zwierząt)
hutch;skrzynka, klatka, trzymać w klatce/skrzynce
drive off;odjechać
overview;przegląd, ogólny zarys
manage;dawać sobie radę, zarządzać
fountain pen;wieczne pióro
sprig;gałązka, pęd, latorośl
try;próba, próbować
edition;wydanie
scum;piana, szumowiny(PEOPLE)
manipulative;manipulator
heartily;serdecznie, z ochotą
common;wspólny, pospolity, powszechny
depict;przedstawiać, obrazować
fourteen;czternaście(14)
architectural;architektoniczny
break up;rozpadać się, zrywać ze sobą
tape;taśma, kaseta, nagrywać
diagram;wykres, diagram
sauce;sos
prescription;recepta
employee;zatrudniony, pracownik
fog up;zaparować
Italy;Włochy
faggot;(UK) pęk, wiązka
cranium;pl crania - czaszka
symbol;symbol
work anti-social hours;pracować w godzinach antyspołecznych(w nocy)
primarily;głównie
enhanced;ulepszony, polepszony
overestimate;przeceniać, wygórowana cena
referred;o którym mowa
gully;rów, utworzyć rów
awkward;niezręczny, niewygodny
besides;poza tym, oprócz tego
mistress;kochanka
possessions;dobytek
resolution;rezolucja, rozdzielczość
parson;duchowny, pastor
allow;pozwalać
ripe;dojrzały
operate;operować, obsługiwać(machine)
bottle;butelka, rozlewać do butelek
cost;cost cost - koszt, cena, kosztować
processor;procesor
wharf;pl wharfs/wharves - nabrzeże
update;uaktualniać
alumna;pl alumnae - absolwentka, wychowanka
globe;kula ziemska, globus
wrest;wyrywać
nil;nic, zero
glossary;słowniczek(w książce)
interception;przechwycenie
infantry;piechota
hundred;sto(100)
greediness;chciwość, żądza
pliers;kombinerki, szczypce
future;przyszły, przyszłość
sit;sat sat - siadać, siedzieć
offensive;obraźliwy, ofensywa
weariness;zmęczenie, wyczerpanie
initialize;inicjować
eclipse;zaćmienie, przysłaniać
creased;pognieciony, pomarszczony
porch;ganek, przedsionek
Bible;Biblia
particularly;szczególnie
attach;przymocowywać, przyłączać
expose;odsłaniać, odkrywać
freezing;temperatura zamarzania, lodowato, lodowaty
tug;szarpnięcie, pociągnięcie, szarpać, pociągać
despondent;przybity, przygnębiony
brethren;bracia, braciszkowie
kingdom;królestwo
full-time;na pełny etat
boyish;chłopięcy
council;rada(np. miejska), zarząd, sobór
plank;deska
feel;felt felt - czuć
moaning;jęki, biadolenie, jęk
leastwise;przynajmniej, w każdym razie
admit;przyznawać się
February;luty
recorder;flet podłużny, urządzenie rejestrujące, magnetofon
whatever;jakikolwiek
trembling;drganie, drżenie
time table;rozkład jazdy
glow;żarzyć się, żar
finer;świetniejszy
speechless;oniemiały, milczący
set out;wyruszać
profession;zawód
contemporary;współczesny
queen;królowa, dama
cabin;kabina, chata
accounting;księgowość, rachunkowość
industrial;przemysłowy
cry for;płakać za, wołać o
china;glinka porcelanowa, porcelana
series;seria, cykl, serial(TV)
to dissuade sb from;odwodzić kogoś od
debug;wyszukiwać i usuwać usterki
bell;dzwon, dzwonek
houseboat;łódź mieszkalna
scene;scena
high time;najwyższy czas
hard-working;pracowity
relatively;relatywnie, względnie
starve;głodować, umierać z głodu
maintain;utrzymywać, podtrzymywać
meat;mięso
baby-sit;pilnować dziecka
guarantee;gwarancja, gwarantować
poison;trucizna, truć
lie;lay lain - leżeć, kłamać, kłamstwo
variety;wybór, zróżnicowanie
womanizer;kobieciarz
assign;przydzielać, przypisywać
come in;wchodzić, wejść
notebook;notes, notatnik, zeszyt, komputer przenośny
coke;koks(COAL)
exceedingly;niezmiernie, nadzwyczaj
week;tydzień
kneel;knelt knelt - klękać
snigger;chichotać (sn...)
roasting;pieczenie
butcher;rzeźnik, zarzynać
rails;szyny
alley;aleja
burst;burst burst - pękać, eksplodować
nursery;żłobek, pokój dla dzieci
greenness;zieleń, świeżość
silk;jedwab, jedwabny
technology;technika
printout;wydruk
close;bliski, zakończenie, zamknąć
downward;w dół, do dołu
tiring;męczący
rumour;(UK) pogłoska
horn;róg
lumber;(US) drewno(używane w budownictwie)
shred;strzęp, strzępić
foundation;fundamenty, fundacja
height;wzrost, wysokość
leg;noga
harmless;nieszkodliwy, niewinny
impatient;niecierpliwy
zinc;cynk
deed;czyn, uczynek, dokument
plant;roślina, sadzić
subside;ustępować
beep;sygnał akustyczny
lots of;mnóstwo
founder;założyciel
alcohol-free;bezalkoholowy
witch;czarownica
bare;nagi, bosy, obnażać
pharmacy;apteka, farmacja
country;kraj, wieś
currently;obecnie
gas;gaz, benzyna, zagazowywać
dungeon;loch
tight;zaciśnięty, obcisły, napięty, mocno
encode;kodować, szyfrować
tree;drzewo
saxophone;saksofon
attentive;uważny, pilny
forgetfulness;słaba pamięć
solution;rozwiązanie, roztwór
to and fro;tam i z powrotem
suffer;doznawać, cierpieć
smock;luźna bluza, luźna sukienka, fartuch
impressed;pod wrażeniem
let's;(skrót od let us)używana do wyrażania sugestii, składania propozycji
violin;skrzypce
however;jednak, aczkolwiek
eighteen;osiemnaście(18)
disturbed;niezrównoważony, zaniepokojony
streak;smuga, pasmo, tworzyć smugi na
inappropriate;nieodpowiedni, niestosowny
sulkily;chmurnie
subject;temat, podmiot(w zdaniu)
count;liczyć, liczba, hrabia
fraud;oszustwo, oszust
mumps;świnka(choroba)
forget;forgot forgotten - zapominać
uneven;nierówny, zmienny, nieparzysty(number)
sad;smutny
Easter;Wielkanoc, wielkanocny
achieve;osiągać, odnosić
amused;rozbawiony, rozśmieszony
holiday;wakacje, urlop
neatness;schludność, staranność
rogue;łajdak, łobuz
illusion;złudzenie, złuda, iluzja
slander;oszczerstwo, pomówienie, pomówić, zniesławić
principle;zasada
slimy;oślizgły(pokryty sluzem), zamulony, obrzydliwy
wardrobe;szafa, odzież, garderoba
ring;rang rung - pierścień, krąg, ring, dzwonek, dzwonić
mask;maska, zakrywać, maskować
superset;nadzbiór
shakily;niepewnie, chwiejnie
dispel;rozpędzić, rozwiać
method;metoda
darts;gra w rzutki
military police;żandarmeria wojskowa
securely;pewnie, zdecydowanie, bezpiecznie(zamocowany)
entity;jednostka
rat race;wyścig szczurów
salesperson;sprzedawca lub sprzedawczyni
calibrate;kalibrować, skalować
booty;łupy, laska, cipka
feedback;sprzężenie zwrotne, sprzężenie
intuitively;intuicyjnie
schooner;kielich(do piwa), szkuner(statek żaglowy)
desirous;pragnący
tarnish;nalot, pokrywać nalotem(śniedzieć)
boil;gotować
rage;wściekłość, wściekać się
workman;pl workmen - robotnik
salesman;pl salesmen - sprzedawca
horror;przerażenie, groza
obey;słuchać, wykonywać(order)
drinkable;pitny, nadający się do picia
arse;dupa(BRIT)
tit;sikora, cycek
six;sześć(6)
ton;tona
heretofore;poprzednio, dotychczas
hover;unosić się
unsuccessful;nieudany
equipment;wyposażenie, sprzęt, ekwipunek
funny;zabawny
also;też, również
infectious;zakaźny
lamentable;opłakany, godny pożałowania
dictatorship;dyktatura
perilous;niebezpieczny, ryzykowny
mature;dojrzały, dojrzewać
presently;niebawem, obecnie
bunny;króliczek
starring;występujący w roli głównej
wrinkle;zmarszczka
attentiveness;uwaga, pilność
look up;podnosić wzrok, spoglądać w górę
resident;mieszkaniec
woolen;(US)wełniany
mighty;potężny
static;zakłócenia(radio), statyczny
shine;shone shone - połysk, błyszczeć
fade;blaknąć, cichnąć, gasnąć
hillside;zbocze wzgórza
volt;wolt
atom;atom
hoist;podnosić
sightly;urodziwy, przyjemny dla oka
gorgeous;wspaniały, cudowny, przystojniaku, ślicznotko
run across;natykać się na
restrain oneself;pohamować się, powstrzymać się
press;prasa, naciśnięcie, przyciskać
enjoyable;przyjemny
bewildered;zdumiony, oszołomiony
endow;wspomóc, ufundować
roughen;robić się grubym
resurrect;wskrzeszać, ożywiać
close-up;zbliżenie
stubborn;uparty
terminology;terminologia
glass;szkło, szklanka
appoint;mianować, wyznaczyć
befall;befell befallen - zdarzyć się, przydarzać się
blast it!;a niech to!
lottery;loteria
behaviour;zachowanie
microchip;układ scalony
supreme;najwyższy, olbrzymi
whither;dokąd
barn;stodoła, obora
rejoice;radować się
cocain;kokaina
mere;zwykły
inherit;dziedziczyć, przejmować w spadku
hood;kaptur, maska(samochodowa), zakrywać kapturem
tell;told told - mówić
available;dostępny
splendour;(UK) przepych, wspaniałość
fairy tale;bajka
continue;kontynuować
fox;lis
genuine;prawdziwy, szczery
breakable;kruchy, łatwo tłukący
apparition;zjawa
base;podstawa, baza, podły, nikczemny
mead;łąka, miód pitny
grace;łaska, gracja, zaszczycać
automaton;pl automatons/automata - automat, robot
hairy;włochaty, przerażający
adaptation;adaptacja, przystosowanie
decoy;zwabiać, przynęta
familiar;(dobrze) znany, znajomy
dressing room;szatnia, przebieralnia
intuition;intuicja, przeczucie
moment;chwila, moment
lengthy;przydługi
veranda(h);weranda
shirk;uchylać się
nightfall;zmrok
cultivate;uprawiać, kultywować
meaningful;znaczący
knit;knitted/knit knitted/knit - robić na drutach
corsair;korsarz
civil war;wojna domowa
strategy;strategia
swelter;zlewać się potem
weapon;broń
scientist;naukowiec, uczony
toy;zabawka
joyful;radosny
precisely;dokładnie
vital;zasadniczy, istotny
input;wkład(resource), dane wejściowe(comput)
sob;szloch, szlochać
practise;(UK) praktykować, wprawiać się w czymś
go on;iść dalej, jechać dalej
frightening;przerażający
June;czerwiec
sprinkling;kilka kropli, szczypta
line;linia, kolejka, lina
olive oil;oliwa z oliwek
acquaint;zapoznawać się
belong to;należeć do
endless;nie kończący się
incorporated company;spółka posiadająca osobowość prawną
skin;skóra, cera
propose;proponować
expand;zwiększać, powiększać, rozszerzać
hark back to sth;wracać do czegoś
gam;noga(zwłaszcza o ładnej kobiecej nodze)
bowls;gra w kule
indicator;wskaźnik(on device)
recover;zdrowieć, odzyskiwać
urge;pragnienie, popęd, popędzać
pipeline;rurociąg, gazociąg
slink;slunk slunk - oddalać się
answer;odpowiedź
nursery school;przedszkole
detergent;detergent, środek czyszczący
perpendicular;prostopadły, pionowy
despondency;przygnębienie, zniechęcenie
speedometer;szybkościomierz
useful;użyteczny
goal;bramka, gol, cel
defeat;porażka, przegrana, pokonać, zwyciężyć
snow;śnieg
dysentery;czerwonka, dyzenteria(ostra choroba zakaźna jelit)
circulation;nakład, obieg, krążenie
riddle;zagadka
saint;święty(-ta)
depreciate;tracić na wartości
defiant;prowokujący, wyzywający
luck;szczęście
neon;neon
area;obszar, powierzchnia
clue;wskazówka
typing;pisanie na maszynie
itinerant;wędrowny
labyrinth;labirynt
nourish;odżywiać, nawozić
hearth;kominek, palenisko
bridge;most, brydż(CARDS)
lack;brak, nie mieć
well-off;zamożny
breathe;oddychać
picklock;wytrych
con;argument przeciw, szwindel, kantować, pilnie studiować, przeciwko
checked;w kratkę
rip;rozdzierać, rozdarcie
deadline;ostateczny termin
make-up;makijaż
size;wielkość, rozmiar
cannon;pl cannon/cannons - armata, działo
ammunition;amunicja
instead;zamiast tego
peak;szczyt, daszek
constraint;ograniczenie, przymus
legal;legalny
contribute;przyczyniać się
lone;odludny, samotny
biodegradable;ulegający biodegradacji
spectacles;okulary
opponent;przeciwnik(-iczka)
blush;rumienić się, zaczerwienić się
fidget;wiercić się, niepokój
unlimited;nieograniczony
resistor;opornik, rezystor
adviser;doradca(-czyni)
artist;artysta(-tka)
stretched;wyciągnięty(np. sweter)
remarkable;nadzwyczajny, niezwykły
wet;mokry, wilgotny
resume;wznawiać, podejmować na nowo
opal;opal(MINERAŁ)
ketchup;keczup
mutilated;okaleczony
distance;odległość, dystans
scout;zwiadowca, skaut
vendor;sprzedający
nimbly;zwinnie, zręcznie
vastly;znacznie
bounce;odbijać się, odbicie
measured;wyważony, miarowy
cast;cast cast - rzucać, oddawać, obsada
charge;opłata, (JUR)zarzut-oskarżenie, natarcie-szarża(attack), ładunek(Elec), obciążać, ładować
diction;dykcja
hasten;przyśpieszać, śpieszyć się
timetable;rozkład jazdy, plan zajęć, ustalać rozkład/plan
true-life;z życia wzięty
upside down;do góry nogami
library;biblioteka
fish tank;akwarium
dingle;zalesiona kotlina
plaything;zabawka
speck;drobinka, pyłek
justify;uzasadniać
I would like;chciałbym
discard;pozbywać się, odrzucać
sleepy;senny
reef;rafa(koralowa)
morning;poranek
pay;paid paid - płaca, płacić
sea lion;lew morski
bareheaded;z gołą głową
disappear;znikać
kiosk;kiosk
ash;popiół, jesion
exhausted;wyczerpany
competence;kompetencje
liver;wątroba
leaning;skłonność, przechylenie się
peanut;orzeszek ziemny
send sth out;rozesłać, wysyłać
irrelevant;nieistotny, nieważny
conceit;zarozumiałość, schlebiać(zwłaszcza sobie)
vocabulary;słownictwo
predetermine;ustalać z góry
brook;potok, strumień
through;przez
school;szkoła, instytut, ławica(FISH), szkolny
acknowledge;potwierdzać, przyznawać
swimsuit;kostium kąpielowy
big deal;wielka sprawa, wielkie rzeczy
coverlet;narzuta, kapa
falsehood;fałsz, kłamstwo, kłamanie
voice;głos
federation;federacja
spur;podnieta, zachęta, zachęcać, ostroga(w jeździectwie)
furniture;meble
bet;bet/betted bet/betted - zakład, zakładać się
impolite;nieuprzejmy
sphinx;sfinks
spacecraft;pl spacecraft - statek kosmiczny
misty;mglisty
octopus;ośmiornica
economy;gospodarka, oszczędność
bar code;kod kreskowy
else;w przeciwnym razie
high-definition;duża rozdzielczość
fulfilled;spełniony
owner;właściciel(ka)
revenue;dochody
duration;czas trwania
addition;dodanie, dodatek, dodawanie(Math)
limp;kuleć, utykać, słaby, wiotki, utykanie
sneer;drwina, szyderczy śmiech, śmiać się szyderczo
fly;flew flown - latać, mucha
madness;obłąkanie, szaleństwo
light pen;pióro świetlne
China;Chiny
cockerel;kogucik
as befits sth;jak przystało na
winding;kręty, wijący się
zodiac;zodiak
scornfully;pogardliwie
spit;spat/spit spat/spit - pluć
automat;automat(US)
sight;wzrok, widzieć
package;paczka, pakiet, pakować
handsel;podarunek na szczęście, dać komuś podarunek na szczęście
marjoram;majeranek
inherited;dziedziczny
lady-in-waiting;pl ladies-in-waiting - dama dworu
bunch;bukiet, pęk, kiść, grupa
maiden;panna, dziewica
hilt;rękojeść(miecza)
butt;dupa, tyłek, niedopałek(papierosa)
blunt;tępy, tępić
as fast as;tak szybko jak
crypt;krypta
detention;zatrzymanie
tame;nudny, nieciekawy, uprawny, poskramiać, oswajać
sponge;gąbka, przecierać gąbką
synthetic;syntetyczny
crocodile;krokodyl
surgery;chirurgia, operacja, gabinet lekarski
eternity;wieczność
needlessly;niepotrzebnie
rotary;obrotowy, rotacyjny
planned;planowy, zaplanowany
fortnight;dwa tygodnie
ship;statek, okręt
itchy;swędzący, gryzący
behave;zachowywać się
astonish;zadziwiać, zdumiewać
fly away;wyfruwać
owl;sowa
spaghetti;spaghetti
rank;stopień, ranga
cuckoo;kukułka
ozone;ozon
transform;odmieniać
although;chociaż, mimo że
amethyst;ametyst
sinister;złowieszczy, złowrogi, groźny
nearly;prawie
adopt;adoptować, przyjąć
academic;akademicki, naukowy, naukowiec
cheap;tani
stun;oszałamiać, ogłuszać
it makes sense;to ma sens
sign up;zapisywać się
responsibility;odpowiedzialność, obowiązek
foam;piana, spieniać
electrical outlet;gniazdko elektryczne
according to;według czegoś
truck;ciężarówka, wagon
amazement;zdumienie, zaskoczenie
upgrade;podnosić standard, awansować, zastępować nowszą wersją(COMPUTERS)
whimper;skomlenie, skomleć
vertical;pionowy
cheerily;wesoło, radośnie
titbit;(UK)smaczny kąsek
barley;jęczmień
lay the table;nakrywać do stołu
appearance;pojawienie się, wygląd
chunk;kawał, kloc, dzielić na kawałki
casual;przypadkowy, dorywczy
hasp;zamek, klamerka, zapinać klamerką
crawl;czołgać się, kraul
overrun;overran overrun - opanowywać, przedłużać się(meeting)
suede;zamsz, zamszowy
beloved;ukochany(-na)
perch;pl perch/perches - okoń(ryba), siadać
milestone;(UK) kamień milowy(ważny punkt, kluczowy etap)
vanish;znikać
bill;rachunek
apply;stosować
moustache;wąsy
spoonful;pełna łyżka
leek;por(VEGETABLE)
peacefully;pokojowo
strap in;przypinać
soft;miękki
victory;zwycięstwo
plumage;upierzenie, pióra
cat;kot
number;liczba, numer, liczyć, numerować
perished;zbutwiały
lick;lizać, liźnięcie
tuck;fałda, słodycze, operacja plastyczna, składać na zakładkę
switch;przełącznik, zmiana, zmieniać
chewing gum;guma do żucia
separating;rozdzielający
repairman;konserwator
recommendation;rekomendacja, zalecenie, polecenie
microwave oven;kuchenka mikrofalowa
uncertainty;niepewność
inferno;piekło
packet;paczka
tow;holowanie, holować
shattered;zrujnowany, wykończony, zdruzgotany
toll;opłata, liczba czegoś(casualties), bicie(dzownu), bić
sand;piasek
beast;zwierzę, bestia
meatball;klopsik
influence;wpływ, wpływać na
gravy;sos(mięsny)
slash;ciąć
breakfast;śniadanie
stuffed;wypchany
idlesse;bezczynność, próżniactwo
honestly;uczciwie, szczerze
blow your nose;wydmuchiwać nos
description;opis
summoner;przywoływacz
pimp;alfons
defeat sb;pokonać kogoś, zwyciężyć kogoś
picnic;piknik, urządzać piknik
triumph;triumf, sukces, triumfować, odnosić sukces
malicious;złośliwy, podły
time off;wolne
character;charakter, znak
escort;eskorta, eskortować
wrestle;walczyć w zapasach
gulp;przełykać, łyk
rafting;spływ pontonem górską rzeką
arrears;zaległości płatnicze
consume;konsumować
crisps;chrupki, chipsy
blueberry;czarna borówka, jagoda amerykańska
steal;stole stolen - kraść
hiss;syczeć, syczenie
similarity;podobieństwo
bachelor;kawaler
collect;zbierać, kolekcjonować
Can you hold?;Czy możesz zaczekać?
video;wideo
allergic;alergiczny
cart;wóz, furmanka, przewozić
pencil;ołówek
protection;ochrona
stay;pobyt, pozostawać
bedchamber;komnata sypialna
give;gave given - dawać
priceless;bezcenny
carbuncle;karbunkuł(kamień szlachetny barwy czerwonej, czyrak mnogi - rodzaj schorzenia)
cross;krzyż, przechodzić przez, zakreślać
fibre;(UK)włókno, błonnik
fag;fajka
leathery;skórzany, twardy jak podeszwa
cool;chłodny, świetny, chłodzić, chłód, świetnie
swab;wacik, szmata na kiju(do sprzątania), czyścić
nook;kącik, wnęka
kilometre;(UK)kilometr
procession;pochód, procesja
salty;słony
doe;łania, królica
neatly;schludnie, starannie
photocopy;fotokopia
beetle;żuk, chrząszcz
remove;usuwać, zwalniać
control;kontrolować, sterować, kontrola, kontrolka
assume;przypuszczać, zakładać
recall;przypominać sobie, wycofywać, przypomnienie, odwołanie
mansion;rezydencja
laboratory;laboratorium
detachable;odczepialny
utilize;użytkować, wykorzystywać
figure;figura, liczba, postać, dojść do wniosku
soda;soda, napój gazowany(US)
dedicated;oddany(Person), specjalistyczny(computer)
placed;umieszczony
leisure;wolny czas
scuffle;bójka, szamotanina, bić się, szamotać
grumble;narzekać
afraid;przestraszony, bać się
mutter;mamrotać
tragic;tragiczny
horrendous;straszliwy, potworny, horrendalny
fumes;dymy, opary
cook;gotować
embraced;zawarty, objęty
jar;słoik, drażnić
focus;pl focuses/foci - ostrość, ustawiać ostrość, skupiać się
the assembled;zebrani, obecni
drown;topić się, tonąć
flee;fled fled - uciekać
severe;ostry, poważny
visible;widoczny
perfectly;doskonale, zupełnie
haircut;strzyżenie, fryzura
tense;spięty, czas, napinać
urban;miejski
wedged;zaklinowany
accuracy;precyzja, dokładność
eerie;niesamowity
specialist;specjalista(-tka)
waggoner;woźnica
subtract;odejmować
lithium;lit
mammal;ssak
trade;handel, handlować
perform;wykonywać, prowadzić
groping;obmacywanie, na ślepo
deteriorate;pogarszać się
account;rachunek, konto, sprawozdanie
modem;modem
refreshments;przekąski i napoje
sunflower;słonecznik
starter;rozrusznik, starter, przystawka
woman;pl women - kobieta
May;maj
mayonnaise;majonez
serpent;wąż
calculate;obliczać
hang on;poczekać, trzymać się kurczowo
every day;codziennie
conversation;rozmowa
certainly;z pewnością, oczywiście
consideration;namysł, wyrozumiałość, wynagrodzenie
proliferate;mnożyć się
warship;okręt wojenny
failure;niepowodzenie, nieudacznik(person)
jade;nefryt
ghost;duch
honorably;(US) z honorem, honorowo
timidity;bojaźliwość, lękliwość
clothe;clad/clothed clad/clothed - ubierać
